Speed_100m_m/s,Direction_100m_degrees,Temperature_2m_degrees_C,Pressure_0m_kPa
13.62,353.1,28.3,100.3
13.28,348.7,27,100.2
13.22,349.3,26.2,100.3
13.62,348.8,25.3,100.3
14.29,348.5,25.5,100.4
14.39,349.5,23.9,100.5
14.43,349.7,23.2,100.5
14.56,349.5,23.2,100.6
14.59,349.9,22.9,100.6
14.82,349.2,22.8,100.6
15.04,348.7,22.8,100.6
15.18,349.2,22.5,100.5
15.39,349.5,22.1,100.4
15.29,347.2,22.2,100.4
15.8,347.4,22.1,100.4
16.06,348.4,22,100.5
16.29,348.7,22.1,100.5
15.61,346.6,23.4,100.6
16.88,346.5,23.8,100.7
17.22,347.3,24.2,100.8
16.62,345.5,25,100.8
16.46,345.2,25.1,100.8
17.17,347.1,24.4,100.7
17.6,349.2,23.4,100.7
16.99,350.7,23.3,100.6
16.94,352.1,21.8,100.6
16.77,351.5,22,100.7
18.8,353.1,22.1,100.7
19.77,354.4,22,100.8
19.75,354.1,21.2,100.8
19.42,352.3,21.1,100.9
19.31,351.2,21.1,101
19.44,352.2,20.7,101
19.36,352.8,20.6,100.9
19.64,353.6,20.6,100.9
19.93,353.8,20.3,100.9
20.03,354.6,19.9,100.8
20.06,355.1,19.3,100.8
19.87,355.2,19.2,100.8
19.81,354.6,19.9,100.9
19.7,353.3,19.9,100.9
18.21,350,20.4,101
19.61,351.1,21,101.1
20.62,351.9,21.4,101.1
20.74,354.2,23,101.1
20.78,355.2,23,101
20.49,355.3,23.1,100.9
20.17,355.4,23,100.8
19.67,355,22.6,100.8
20.38,355,20.6,100.7
19.09,353.9,20.2,100.8
16.86,351.4,19.9,100.8
18.56,353.7,20.3,100.8
18.14,352.6,20,100.9
18,351.7,19.5,101
17.83,351.4,19.5,101
17.59,351.1,18.9,101
17.28,350.6,19,101
16.83,350.1,19.1,100.9
16.48,350.2,18.7,100.9
16.26,350.4,18.5,100.8
14.94,349.1,17.8,100.8
15.69,351.3,17.9,100.8
15.63,351.1,18.7,100.8
15.51,350.9,18.7,100.9
14.42,348.3,19.8,100.9
14.77,349.6,20.4,100.9
14.82,350.8,20.7,100.9
14.47,351.6,24,100.9
14.34,352.4,24.2,100.8
14.4,355.5,24.1,100.7
13.79,355.6,24.5,100.6
13.22,354,24.1,100.5
13.43,356.6,22.9,100.5
13.04,353.4,22.4,100.5
12.68,351.3,22.2,100.5
12.78,352.8,21.9,100.6
12.5,352.3,21.4,100.6
12.12,351.4,21.1,100.7
11.82,350.8,20.7,100.7
11.65,349.9,20.3,100.7
11.61,349.4,20.9,100.7
11.4,349.4,21.2,100.6
11.13,349.5,20.9,100.6
10.85,350.3,21.2,100.6
10.27,351,18.8,100.5
9.98,350.2,18.7,100.5
9.78,351.9,18.1,100.6
9.55,354.1,18,100.6
8.55,353.3,20,100.7
8.13,351.8,22.5,100.8
7.79,350.4,24.2,100.7
7.68,349.5,27.3,100.7
7.52,349.5,28.5,100.6
7.5,349.7,29,100.5
7.71,350.7,30.3,100.4
8.01,351.9,30.3,100.3
8.31,350.8,28.5,100.3
8.96,347,28.1,100.3
10.18,349.2,26.9,100.4
10.33,351.7,25.8,100.5
10.31,352.2,24.2,100.5
10.21,353.2,24.2,100.6
9.97,353.6,24.1,100.7
9.85,353.2,22.9,100.7
9.96,352.8,23.2,100.7
10.19,352.4,23.2,100.7
10.45,352.1,22.4,100.7
10.77,352.9,21.6,100.6
10.73,353.7,21.1,100.6
11.07,353.1,21.2,100.6
11.5,352.1,21.2,100.7
11.85,351.6,21.2,100.7
11.39,349.8,23.9,100.8
12.98,350.3,24.3,100.9
13.19,349.4,25.2,100.9
13.74,348.9,27.5,100.9
14.23,349.6,27.7,100.8
14.71,350.7,27.8,100.7
14.97,351.9,27.7,100.6
15.27,351.9,28.2,100.6
14.49,351.9,26.1,100.6
13.93,347.4,26,100.6
13.54,345.9,25.5,100.7
13.51,348.3,25,100.7
13.24,348,24.7,100.8
13.18,347.3,24.1,100.9
12.97,346.9,23.8,100.9
12.9,346.3,22.8,101
12.77,345.2,22.9,101
12.73,344.6,22.9,100.9
12.88,345.2,21.9,100.9
13.13,344.9,21.8,100.8
13.19,345.3,21.1,100.8
13.55,346.5,21.4,100.7
13.62,346.9,22.1,100.8
13.61,347.1,22.1,100.8
13.5,344.8,23.1,100.8
14.08,346,24,100.9
13.77,350.6,25.2,100.9
13.19,353.3,28.7,100.8
12.84,356.9,29.3,100.7
12.06,356.6,29.8,100.6
11.57,356.2,30.7,100.5
10.95,352.9,30.9,100.4
10.71,352.7,28.2,100.4
10.11,346.5,27.3,100.4
10.16,346.4,26.8,100.4
10.2,350,26.2,100.4
10.29,351.8,25.1,100.5
10.12,352.6,24.5,100.6
9.63,353.2,24.4,100.6
8.91,351.7,23.3,100.6
8.56,349.5,23.5,100.6
8.41,349.2,23.6,100.6
8.15,350.7,22.8,100.5
7.93,353.5,23.1,100.5
7.33,355.3,21.1,100.4
7.24,353.4,21.1,100.5
7.19,353.4,21.2,100.5
7.11,354.9,21.1,100.5
6.68,354.8,22.9,100.6
5.54,353.2,24,100.6
5.46,350.5,27.3,100.6
5.12,350.1,30.7,100.6
4.85,348,31.8,100.5
4.79,345.9,32.1,100.4
4.95,344,34,100.3
5.13,344.1,33.3,100.2
5.68,344,31.2,100.2
6.18,346.2,30.4,100.2
6.62,352.4,29.5,100.3
6.63,357.3,27.6,100.3
6.14,356,25.7,100.4
5.94,352.4,25.5,100.5
6.08,355.5,25.1,100.5
5.94,356.2,23.7,100.6
6.01,355.1,23.6,100.5
6.34,353.7,24,100.5
6.8,353.3,23.6,100.5
7.04,355.3,23.1,100.5
7.24,357,22,100.4
7.47,356.5,22,100.4
7.77,354.8,21.9,100.5
8.13,354.9,21.8,100.6
8.12,353.5,23.4,100.6
8.11,353.3,24.6,100.7
8.98,352.4,27.6,100.7
8.77,351.2,31.1,100.7
8.51,352.7,31.9,100.5
8.44,353.5,32.8,100.4
8.63,353.7,33.2,100.3
8.72,353.1,33.2,100.3
8.76,351.4,30.6,100.2
8.88,350.8,29.7,100.3
8.95,352.3,29.1,100.4
8.9,356.5,28.5,100.4
8.55,359,27.2,100.5
8.08,0.1,27.2,100.6
7.62,359.7,26.5,100.7
7.57,357.2,24.9,100.7
7.67,354.5,24.2,100.7
7.76,353.2,24,100.7
7.82,352,23.2,100.6
7.85,352.2,23.2,100.6
7.5,352.6,22.1,100.6
7.6,352,22.4,100.6
7.55,351.8,22.4,100.7
7.61,352.3,22.6,100.7
7.29,351.8,24.3,100.8
7.67,354.1,25.3,100.8
7.26,354.9,27.8,100.8
6.88,353.3,31.5,100.7
6.5,353.3,32.7,100.6
6.46,353,32.7,100.5
6.52,351.4,34.1,100.4
6.76,348.8,34.1,100.3
6.34,349.2,31.4,100.2
6.89,347,31.1,100.3
7.64,346.2,30.2,100.3
8.11,349.8,28.4,100.4
7.74,352.1,27.3,100.5
7.35,351.8,27,100.5
6.84,351.7,26.3,100.6
6.37,351.2,25.1,100.6
6.01,349.2,25,100.6
5.83,349.2,25,100.6
5.65,351.1,24.3,100.5
5.56,355,24.1,100.5
5.23,357.4,22.6,100.5
5.2,2,22.6,100.6
5.27,4,22.6,100.6
